# Observed Icons8 Windows 11 Color Logos directory, 2026-09-09.
# Original category|Icons8 ID|source URL slug|original label
Adobe|rZObyIJRui2T|adobe-acrobat-reader|Adobe Acrobat Reader
Adobe|XJqAuI8VfoCe|adobe-after-effects|Adobe After Effects
Adobe|iZqY5SxbdoL6|adobe-animate|Adobe Animate
Adobe|uy9YlB1kyk1r|adobe-audition|Adobe Audition
Adobe|Ve7xiQku2fOC|adobe-bridge|Adobe Bridge
Adobe|Lq5kMukvoW5c|adobe-creative-cloud|Adobe Creative Cloud
Adobe|KYqDFUQ7hILt|adobe-digital-editions|Adobe Digital Editions
Adobe|Ie8LulhEwL9a|adobe-dreamweaver|Adobe Dreamweaver
Adobe|zm5u8iyc6Gz0|adobe-fireworks|Adobe Fireworks
Adobe|CDONCAIryoWE|adobe-flash|Adobe Flash
Adobe|sqotU513omoL|adobe-framemaker|Adobe FrameMaker
Adobe|QaT9iepDXQab|adobe-illustrator|Adobe Illustrator
Adobe|GRYhBqf5jdP9|adobe-indesign|Adobe Indesign
Adobe|x2Oc1Ou9EhlC|adobe-lightroom|Adobe Lightroom
Adobe|NeNPFdj7MzXi|adobe-photoshop|Adobe Photoshop
Adobe|87ZqKgnPMW8m|adobe-premiere-pro|Adobe Premiere Pro
Adobe|TF2CQcYTNqU2|adobe-xd|Adobe XD
Ai|eoxMN35Z6JKg|ai|AI
Ai|LoPeMbYQidFV|ai-chatting|AI Chatting
Ai|H5H0mqCCr5AV|anthropic|Anthropic
Ai|JJXWcefHiiDM|apple-intelligence|Apple Intelligence
Ai|Ic9mHRMy28L7|bolt-app|Bolt App
Ai|3Y0jNlArRM5J|character-ai|Character AI
Ai|ka3InxFU3QZa|chatgpt|ChatGPT
Ai|zQjzFjPpT2Ek|claude-ai|Claude Ai
Ai|tv7GSC4vCGHe|copy-ai|Copy AI
Ai|Kwms9QBiZhG2|cursor-ai|Cursor AI
Ai|BkO4pUrMKVOZ|deepai|DeepAI
Ai|THRPlyXrzBJk|deepseek|DeepSeek
Ai|rnK88i9FvAFO|gemini-ai|Gemini Ai
Ai|Yl9ip6CjqAEI|github-copilot|Github Copilot
Ai|8QGE7uQedCwQ|grok|Grok
Ai|nYpTA1hyYtTK|heygen|Heygen
Ai|NMHBRPq7cNs2|invideo-ai|InVideo AI
Ai|ij6f4GUUwLE8|jasper-ai|Jasper Ai
Ai|GRbutY7XG5eg|lovable|Lovable
Ai|PxQoyT1s0uFh|microsoft-copilot|Microsoft Copilot
Ai|2Wgfq9p8joZQ|midjourney|Midjourney
Ai|GEwnpUHOxl4r|otter-ai|Otter AI
Ai|L9b1q8e9tmcE|paradox-ai|Paradox Ai
Ai|kzJWN5jCDzpq|perplexity-ai|Perplexity Ai
Ai|FnhiFHcPQyOa|replit|Replit
Ai|JqGay9KXwqhP|sparkles|Sparkles
Ai|emezZ8DDFo8A|windows-copilot|Windows Copilot
Ai|d31ZyFhMRYFS|windsurf-editor|Windsurf Editor
Ai|nRvMQcFmAB3s|zerogpt|ZeroGPT
Apple|4PbFeZOKAc61|app-store|App Store
Apple|rrLYeEp8OwnC|apple-arcade|Apple Arcade
